Ablation,Alpha,binary,class,genus,species
yolov8-Reclassified,0.0,0.3009,0.0288,0.0054,0.0057
yolov8-Reclassified,0.2,0.3009,0.012,0.0153,0.0142
yolov8-Reclassified,0.5,0.3009,0.0281,0.0065,0.0142
yolov8-Reclassified,0.8,0.3009,0.0221,0.0125,0.006
yolov8-Reclassified,1.0,0.0949,0.0221,0.0153,0.0051
yolov9-Reclassified,0.0,0.1071,0.0269,0.0253,0.0068
yolov9-Reclassified,0.2,0.2964,0.0246,0.0079,0.0076
yolov9-Reclassified,0.5,0.2964,0.0365,0.0073,0.0068
yolov9-Reclassified,0.8,0.2964,0.0321,0.0148,0.0058
yolov9-Reclassified,1.0,0.1071,0.031,0.0081,0.0138
RT-DETR-Reclassified,0.0,0.0584,0.0004,0.0003,0.0003
RT-DETR-Reclassified,0.2,0.0584,0.0132,0.0008,0.0002
RT-DETR-Reclassified,0.5,0.206,0.0138,0.0008,0.0002
RT-DETR-Reclassified,0.8,0.206,0.0242,0.0096,0.0084
RT-DETR-Reclassified,1.0,0.206,0.0359,0.0084,0.0008
attention_removed-Reclassified,0.0,0.0949,0.0218,0.0061,0.0244
attention_removed-Reclassified,0.2,0.3009,0.0221,0.0153,0.0057
attention_removed-Reclassified,0.5,0.0949,0.038,0.0061,0.0
attention_removed-Reclassified,0.8,0.3009,0.0221,0.0153,0.0244
attention_removed-Reclassified,1.0,0.0949,0.0079,0.0153,0.006
decreased_branch_complexity-Reclassified,0.0,0.3009,0.0221,0.0656,0.0244
decreased_branch_complexity-Reclassified,0.2,0.0949,0.1044,0.0065,0.0074
decreased_branch_complexity-Reclassified,0.5,0.3552,0.0174,0.0082,0.0077
decreased_branch_complexity-Reclassified,0.8,0.3009,0.0397,0.0129,0.0057
decreased_branch_complexity-Reclassified,1.0,0.0949,0.012,0.0087,0.0116
increased_features_complexity-Reclassified,0.0,0.0949,0.0288,0.0149,0.0077
increased_features_complexity-Reclassified,0.2,0.0949,0.0288,0.0061,0.0142
increased_features_complexity-Reclassified,0.5,0.0949,0.0281,0.0263,0.0116
increased_features_complexity-Reclassified,0.8,0.0949,0.038,0.0083,0.0167
increased_features_complexity-Reclassified,1.0,0.0949,0.0281,0.0054,0.0244
